au13,year,lma,lma_stability,sub_lma,sub_lma_stability
518802,2001,3,1,3,1
518803,2001,3,1,3,1
518901,2001,3,1,3,1
518902,2001,3,1,3,1
519001,2001,3,1,3,1
519002,2001,3,1,3,1
519200,2001,3,1,3,1
519300,2001,3,1,3,1
519400,2001,3,1,3,1
519500,2001,3,1,4,1
519710,2001,3,1,3,1
519720,2001,3,1,3,0.964
519810,2001,3,1,4,0.692
519820,2001,3,1,4,0.988
519900,2001,3,1,4,0.984
520000,2001,3,1,4,1
520201,2001,3,1,4,0.984
520202,2001,3,1,4,0.988
520301,2001,3,1,4,1
520302,2001,3,1,4,1
520303,2001,3,1,4,1
520401,2001,3,1,4,1
520402,2001,3,1,4,1
520500,2001,3,1,4,1
520601,2001,3,1,4,1
520602,2001,3,1,4,1
520801,2001,3,0.528,5,1
520900,2001,2,0.524,10,1
521000,2001,4,0.896,1,1
521111,2001,5,0.916,1,1
521112,2001,5,0.916,2,1
521114,2001,5,0.916,3,1
521115,2001,5,0.916,3,1
521116,2001,5,0.916,1,1
521117,2001,5,0.916,3,0.996
521121,2001,5,0.916,2,1
521122,2001,3,1,4,1
521131,2001,5,0.916,4,1
521132,2001,3,1,4,1
521134,2001,3,0.712,4,0.824
521135,2001,5,0.916,5,1
521136,2001,5,0.916,5,1
521151,2001,5,0.916,6,1
521152,2001,5,0.916,6,1
521153,2001,5,0.916,7,1
521160,2001,5,0.916,4,1
521201,2001,3,1,4,1
521202,2001,3,1,4,1
521203,2001,3,1,4,1
521301,2001,3,1,4,1
521302,2001,3,1,4,1
521501,2001,3,1,4,1
521502,2001,3,1,4,1
521601,2001,3,1,4,1
521602,2001,3,1,4,1
521801,2001,3,1,4,1
521802,2001,3,1,4,1
521803,2001,3,1,4,1
521901,2001,3,1,4,1
521902,2001,3,1,4,1
522100,2001,3,1,4,1
522201,2001,3,1,4,1
522202,2001,3,1,4,1
522301,2001,3,1,4,1
522302,2001,3,1,4,1
522400,2001,3,1,4,1
522601,2001,3,1,4,1
522603,2001,3,1,4,1
522604,2001,3,1,4,1
522711,2001,3,1,4,1
522712,2001,3,1,4,1
522721,2001,3,1,4,1
522722,2001,3,1,4,1
522723,2001,3,1,4,1
522730,2001,3,1,4,1
522810,2001,3,1,4,1
522820,2001,3,1,4,1
522910,2001,3,1,4,1
522920,2001,3,1,4,1
523000,2001,3,1,4,1
523101,2001,3,1,4,1
523102,2001,3,1,4,1
523105,2001,3,1,4,1
523106,2001,3,1,4,1
523107,2001,3,1,4,1
523109,2001,3,1,4,1
523110,2001,3,1,4,1
523112,2001,3,1,4,1
523113,2001,3,1,4,1
523114,2001,3,1,4,1
523115,2001,3,1,4,1
523116,2001,3,1,4,1
523201,2001,3,1,4,1
523202,2001,3,1,4,1
523300,2001,3,1,4,1
523402,2001,3,1,4,1
523403,2001,3,1,4,1
523404,2001,3,1,4,1
523501,2001,3,1,4,1
523502,2001,3,1,4,1
523601,2001,3,1,4,1
523602,2001,3,1,4,1
523711,2001,3,1,4,1
523712,2001,3,1,4,1
523713,2001,3,1,4,1
523721,2001,3,1,4,1
523722,2001,3,1,4,1
523813,2001,3,1,4,1
523814,2001,3,1,4,1
523816,2001,3,1,4,1
523817,2001,3,1,4,1
523818,2001,3,1,4,1
523819,2001,3,1,4,1
523820,2001,3,1,4,1
523911,2001,3,1,4,1
523912,2001,3,1,4,1
523920,2001,3,1,4,1
524001,2001,3,1,4,1
524002,2001,3,1,4,1
524111,2001,3,1,4,1
524112,2001,3,1,4,1
524121,2001,3,1,4,1
524122,2001,3,1,4,1
524200,2001,3,1,4,1
524301,2001,3,1,4,1
524302,2001,3,1,4,1
524303,2001,3,1,4,1
524402,2001,3,1,4,1
524403,2001,3,1,4,1
524404,2001,3,1,4,1
524405,2001,3,1,4,1
524510,2001,3,1,4,1
524520,2001,3,1,4,1
524530,2001,3,1,4,1
524602,2001,3,1,4,1
524603,2001,3,1,4,1
524604,2001,3,1,4,1
524711,2001,3,1,4,1
524712,2001,3,1,4,1
524713,2001,3,1,4,1
524720,2001,3,1,4,1
524811,2001,3,1,4,1
524812,2001,3,1,4,1
524821,2001,3,1,4,1
524822,2001,3,1,4,1
524901,2001,3,1,4,1
524902,2001,3,1,4,1
525001,2001,3,1,4,1
525002,2001,3,1,4,1
525101,2001,3,1,4,1
525102,2001,3,1,4,1
525201,2001,3,1,4,1
525202,2001,3,1,4,1
525410,2001,3,1,4,1
525420,2001,3,1,4,1
525510,2001,3,1,4,1
525520,2001,3,1,4,1
525530,2001,3,1,4,1
525540,2001,3,1,4,1
525610,2001,3,1,4,1
525620,2001,3,1,4,1
525630,2001,3,1,4,1
525700,2001,3,1,4,1
525910,2001,5,0.916,1,1
525921,2001,5,0.916,1,1
525922,2001,5,0.916,1,1
